Description,"Abundance Ratio: (Control, TatCN) / (Control, None)","Abundance Ratio: (Control, TatCN) / (Control, Vehicle)","Abundance Ratio: (EtOH, Vehicle) / (Control, Vehicle)","Abundance Ratio: (EtOH, TatCN) / (EtOH, None)","Abundance Ratio: (EtOH, Vehicle) / (EtOH, None)","Abundance Ratio: (EtOH, TatCN) / (EtOH, Vehicle)"
Actin-related protein 2 OS=Rattus norvegicus OX=10116 GN=Actr2 PE=2 SV=1,0.388,0.413,1.179,1.083,2.995,0.497
Dihydropyrimidinase-related protein 5 OS=Rattus norvegicus OX=10116 GN=Dpysl5 PE=1 SV=1,0.582,0.782,0.966,1.074,1.438,0.736
"Superoxide dismutase [Mn], mitochondrial OS=Rattus norvegicus OX=10116 GN=Sod2 PE=1 SV=2",0.375,0.527,0.741,0.651,0.778,0.852
Large ribosomal subunit protein P2 OS=Rattus norvegicus OX=10116 GN=Rplp2 PE=1 SV=2,0.565,0.604,0.954,0.783,1.061,0.737
Heat shock protein HSP 90-alpha OS=Rattus norvegicus OX=10116 GN=Hsp90aa1 PE=1 SV=3,0.386,0.683,0.601,0.708,0.976,0.831
"ATP synthase F(0) complex subunit B1, mitochondrial OS=Rattus norvegicus OX=10116 GN=Atp5pb PE=1 SV=1",0.479,0.926,0.839,0.69,0.917,0.768
Protein S100-B OS=Rattus norvegicus OX=10116 GN=S100b PE=1 SV=2,0.313,0.979,1.348,0.315,0.782,0.403
Synapsin-2 OS=Rattus norvegicus OX=10116 GN=Syn2 PE=1 SV=1,0.444,0.637,0.705,0.702,1.024,0.697
Calcium/calmodulin-dependent protein kinase type II subunit beta OS=Rattus norvegicus OX=10116 GN=Camk2b PE=1 SV=1,0.41,0.601,0.876,0.575,1.6,0.446
Ig gamma-2B chain C region OS=Rattus norvegicus OX=10116 GN=Igh-1a PE=1 SV=1,7.916,1.211,1.247,11.432,13.386,0.81
Alpha-endosulfine OS=Rattus norvegicus OX=10116 GN=Ensa PE=1 SV=1,0.448,0.561,0.866,0.864,1.158,0.71
Carbonic anhydrase 2 OS=Rattus norvegicus OX=10116 GN=Ca2 PE=1 SV=2,1.641,1.199,0.821,1.093,0.854,1.112
Clathrin heavy chain 1 OS=Rattus norvegicus OX=10116 GN=Cltc PE=1 SV=3,0.265,0.531,0.596,0.548,0.893,0.602
Alpha-2-HS-glycoprotein OS=Rattus norvegicus OX=10116 GN=Ahsg PE=1 SV=2,2.236,0.971,1.493,12.4,15.506,1.247
"ATP-dependent 6-phosphofructokinase, platelet type OS=Rattus norvegicus OX=10116 GN=Pfkp PE=1 SV=2",0.629,0.752,0.813,0.864,1.1,0.827
Transketolase OS=Rattus norvegicus OX=10116 GN=Tkt PE=1 SV=1,0.736,0.835,1.014,0.941,1.102,0.775
"Glycogen phosphorylase, brain form (Fragment) OS=Rattus norvegicus OX=10116 GN=Pygb PE=1 SV=3",0.413,0.741,0.739,0.604,0.793,0.758
"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1 OS=Rattus norvegicus OX=10116 GN=Ddah1 PE=1 SV=3",0.591,6.299,5.546,0.944,1.209,0.694
Vesicle-associated membrane protein 3 OS=Rattus norvegicus OX=10116 GN=Vamp3 PE=1 SV=1,,,,,,
"Keratin, type I cytoskeletal 14 OS=Rattus norvegicus OX=10116 GN=Krt14 PE=2 SV=1",,,,,,
Histone H2B type 1-A OS=Rattus norvegicus OX=10116 GN=H2bc1 PE=1 SV=2,0.175,0.175,0.402,0.357,0.518,0.689
Dynamin-1 OS=Rattus norvegicus OX=10116 GN=Dnm1 PE=1 SV=2,0.297,0.513,0.857,0.567,0.952,0.595
Ras-related protein Rab-11B OS=Rattus norvegicus OX=10116 GN=Rab11b PE=1 SV=4,0.444,0.946,0.551,0.86,3.644,0.274
Large ribosomal subunit protein eL31 OS=Rattus norvegicus OX=10116 GN=Rpl31 PE=2 SV=1,1.004,0.698,3.587,1.413,3.69,0.387
Heat shock protein HSP 90-beta OS=Rattus norvegicus OX=10116 GN=Hsp90ab1 PE=1 SV=4,0.389,0.663,0.754,0.665,1.008,0.713
Protein disulfide-isomerase A3 OS=Rattus norvegicus OX=10116 GN=Pdia3 PE=1 SV=2,0.605,0.78,0.898,1.018,1.06,1.029
Protein S100-A9 OS=Rattus norvegicus OX=10116 GN=S100a9 PE=1 SV=3,2.444,1.173,3.447,4.846,4.914,1.187
"Actin, alpha cardiac muscle 1 OS=Rattus norvegicus OX=10116 GN=Actc1 PE=2 SV=1",0.395,0.543,0.538,0.644,0.835,0.686
ADP/ATP translocase 1 OS=Rattus norvegicus OX=10116 GN=Slc25a4 PE=1 SV=3,0.515,0.797,0.632,0.514,0.779,0.809
"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial OS=Rattus norvegicus OX=10116 GN=Cox4i1 PE=1 SV=1",0.359,0.675,1.13,0.517,0.864,0.661
Calcineurin subunit B type 1 OS=Rattus norvegicus OX=10116 GN=Ppp3r1 PE=1 SV=2,0.203,0.789,0.114,0.662,0.111,10.539
Cell cycle exit and neuronal differentiation protein 1 OS=Rattus norvegicus OX=10116 GN=Cend1 PE=1 SV=1,0.601,0.47,0.739,0.64,0.938,0.935
"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial OS=Rattus norvegicus OX=10116 GN=Ndufs1 PE=1 SV=1",0.432,0.669,0.86,0.692,0.99,0.604
"ATPase inhibitor, mitochondrial OS=Rattus norvegicus OX=10116 GN=Atp5if1 PE=3 SV=2",0.613,0.728,1.223,0.72,1.023,0.536
Limbic system-associated membrane protein OS=Rattus norvegicus OX=10116 GN=Lsamp PE=1 SV=1,0.488,0.823,1.215,0.716,1.385,0.576
"Citrate synthase, mitochondrial OS=Rattus norvegicus OX=10116 GN=Cs PE=1 SV=1",0.465,0.799,0.959,0.747,0.969,0.726
Cytochrome b5 type B OS=Rattus norvegicus OX=10116 GN=Cyb5b PE=1 SV=2,0.506,0.408,0.704,0.752,1.387,0.542
Dihydropyrimidinase-related protein 4 (Fragment) OS=Rattus norvegicus OX=10116 GN=Dpysl4 PE=1 SV=1,0.429,0.572,1.322,1.037,1.274,0.792
"Electrogenic aspartate/glutamate antiporter SLC25A12, mitochondrial OS=Rattus norvegicus OX=10116 GN=Slc25a12 PE=3 SV=5",0.445,0.762,0.879,0.774,1.224,0.714
Transforming protein RhoA OS=Rattus norvegicus OX=10116 GN=Rhoa PE=1 SV=1,0.329,0.371,0.68,0.465,0.653,0.586
Protein phosphatase 3 catalytic subunit alpha OS=Rattus norvegicus OX=10116 GN=Ppp3ca PE=1 SV=1,0.378,0.747,0.677,0.436,0.701,0.776
Alpha-1-inhibitor 3 OS=Rattus norvegicus OX=10116 GN=A1i3 PE=1 SV=1,2.796,1.339,1.857,5.384,5,1.283
Cytochrome b-c1 complex subunit 8 OS=Rattus norvegicus OX=10116 GN=Uqcrq PE=3 SV=1,0.62,0.537,0.067,0.425,0.108,7.225
Isoaspartyl peptidase/L-asparaginase OS=Rattus norvegicus OX=10116 GN=Asrgl1 PE=1 SV=1,0.602,0.766,0.852,0.516,0.796,0.585
Fascin OS=Rattus norvegicus OX=10116 GN=Fscn1 PE=1 SV=2,0.644,0.922,0.885,0.614,0.82,0.695
Sideroflexin-1 OS=Rattus norvegicus OX=10116 GN=Sfxn1 PE=2 SV=4,0.587,0.698,1.02,0.724,1.446,0.602
"Cytochrome c oxidase subunit 5B, mitochondrial OS=Rattus norvegicus OX=10116 GN=Cox5b PE=1 SV=2",0.464,0.66,1.2,0.621,1.11,0.505
"Dihydrolipoyl dehydrogenase, mitochondrial OS=Rattus norvegicus OX=10116 GN=Dld PE=1 SV=1",0.449,0.717,0.844,0.698,1.142,0.742
Vesicle-associated membrane protein 2 OS=Rattus norvegicus OX=10116 GN=Vamp2 PE=1 SV=2,0.383,1.033,0.987,0.561,0.828,0.589
Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 OS=Rattus norvegicus OX=10116 GN=Gnb1 PE=1 SV=4,0.366,0.713,0.703,0.551,0.668,0.805
Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 OS=Rattus norvegicus OX=10116 GN=Gnb2 PE=1 SV=4,0.539,0.681,0.107,0.651,0.099,9.98
"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial OS=Rattus norvegicus OX=10116 GN=Idh3a PE=1 SV=1",0.4,0.641,0.901,0.571,0.962,0.644
Opioid-binding protein/cell adhesion molecule OS=Rattus norvegicus OX=10116 GN=Opcml PE=1 SV=2,0.446,0.759,1.631,0.471,1.209,0.448
Histone H2A type 4 OS=Rattus norvegicus OX=10116 PE=2 SV=2,0.474,0.482,1.076,0.693,1.126,0.454
Large ribosomal subunit protein uL23 OS=Rattus norvegicus OX=10116 GN=Rpl23a PE=1 SV=1,0.415,0.558,1.429,0.997,2.875,0.343
NEDD8 OS=Rattus norvegicus OX=10116 GN=Nedd8 PE=1 SV=1,0.465,0.541,1.07,0.409,0.858,0.438
ADP/ATP translocase 2 OS=Rattus norvegicus OX=10116 GN=Slc25a5 PE=1 SV=3,0.463,0.786,0.804,0.689,0.668,0.914
Prohibitin 1 OS=Rattus norvegicus OX=10116 GN=Phb1 PE=1 SV=1,0.275,0.437,0.562,0.512,0.489,0.67
F-actin-capping protein subunit beta OS=Rattus norvegicus OX=10116 GN=Capzb PE=1 SV=1,0.497,0.669,0.157,0.764,0.202,7.223
Aldo-keto reductase family 1 member A1 OS=Rattus norvegicus OX=10116 GN=Akr1a1 PE=1 SV=2,0.438,0.604,0.71,0.544,0.768,0.705
Ras-related protein Rab-1B OS=Rattus norvegicus OX=10116 GN=Rab1b PE=1 SV=1,0.691,0.456,0.078,0.668,0.086,12.955
Pyridoxal kinase OS=Rattus norvegicus OX=10116 GN=Pdxk PE=1 SV=1,0.885,1.852,0.33,0.393,0.482,4.442
Complement C1q subcomponent subunit A OS=Rattus norvegicus OX=10116 GN=C1qa PE=1 SV=2,24.313,1.257,0.911,23.803,11.971,1.406
CDGSH iron-sulfur domain-containing protein 1 OS=Rattus norvegicus OX=10116 GN=Cisd1 PE=3 SV=1,0.441,0.825,1.087,0.546,0.955,0.444
WD repeat-containing protein 1 OS=Rattus norvegicus OX=10116 GN=Wdr1 PE=1 SV=3,0.51,0.82,1.09,0.814,1.244,0.699
Alpha-soluble NSF attachment protein OS=Rattus norvegicus OX=10116 GN=Napa PE=1 SV=2,0.555,0.76,0.682,0.539,0.8,0.778
Small ribosomal subunit protein eS30 OS=Rattus norvegicus OX=10116 GN=Fau PE=1 SV=1,0.556,0.675,1.59,0.735,1.477,0.536
Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-7 OS=Rattus norvegicus OX=10116 GN=Gng7 PE=2 SV=2,0.699,0.831,1.713,0.611,1.269,0.547
Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform OS=Rattus norvegicus OX=10116 GN=Ppp2cb PE=2 SV=1,0.514,0.936,0.955,0.561,0.97,0.75
Neural cell adhesion molecule 1 OS=Rattus norvegicus OX=10116 GN=Ncam1 PE=1 SV=1,0.516,0.671,0.733,0.688,0.946,0.689
Large ribosomal subunit protein eL39 OS=Rattus norvegicus OX=10116 GN=Rpl39 PE=1 SV=2,0.5,0.848,1.446,0.525,1.429,0.358
Cystatin-C OS=Rattus norvegicus OX=10116 GN=Cst3 PE=1 SV=2,0.696,0.721,0.153,0.096,0.15,1
Amino acid transporter heavy chain SLC3A2 OS=Rattus norvegicus OX=10116 GN=Slc3a2 PE=1 SV=1,0.448,0.715,1.032,0.863,1.135,0.766
Protein NDRG2 OS=Rattus norvegicus OX=10116 GN=Ndrg2 PE=1 SV=1,0.52,0.859,1.528,0.416,0.999,0.623
Sodium/potassium-transporting ATPase subunit beta-1 OS=Rattus norvegicus OX=10116 GN=Atp1b1 PE=1 SV=1,0.412,0.737,0.693,0.481,0.882,0.666
Haptoglobin OS=Rattus norvegicus OX=10116 GN=Hp PE=1 SV=3,1.647,1.04,2.097,4.446,2.654,0.939
Myosin light polypeptide 6 OS=Rattus norvegicus OX=10116 GN=Myl6 PE=1 SV=3,0.578,0.869,0.806,0.946,1.072,0.882
Eukaryotic translation initiation factor 4H OS=Rattus norvegicus OX=10116 GN=Eif4h PE=1 SV=1,0.433,0.442,1.524,0.645,2.325,0.307
"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial OS=Rattus norvegicus OX=10116 GN=Ndufs4 PE=1 SV=1",0.431,0.662,1.325,0.353,9.421,0.095
"Spectrin alpha chain, non-erythrocytic 1 OS=Rattus norvegicus OX=10116 GN=Sptan1 PE=1 SV=2",0.368,0.685,0.907,0.624,0.903,0.749
Dynactin subunit 2 OS=Rattus norvegicus OX=10116 GN=Dctn2 PE=1 SV=1,0.396,0.365,0.688,0.869,1.101,0.605
Thymosin beta-10 OS=Rattus norvegicus OX=10116 GN=Tmsb10 PE=1 SV=2,0.466,0.35,1.181,1.402,1.408,0.725
"ATP synthase subunit epsilon, mitochondrial OS=Rattus norvegicus OX=10116 GN=Atp5f1e PE=1 SV=2",0.539,0.794,1.271,0.973,1.375,0.707
S-phase kinase-associated protein 1 OS=Rattus norvegicus OX=10116 GN=Skp1 PE=1 SV=3,0.222,0.243,0.262,0.439,0.777,1.082
"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial OS=Rattus norvegicus OX=10116 GN=Dlat PE=1 SV=3",0.318,0.704,0.844,0.611,0.852,0.743
Alpha-1-antiproteinase OS=Rattus norvegicus OX=10116 GN=Serpina1 PE=1 SV=2,0.798,1.124,2.196,3.678,2.811,1.118
GTPase KRas OS=Rattus norvegicus OX=10116 GN=Kras PE=1 SV=3,0.53,0.781,0.986,0.84,1.118,0.629
GTPase HRas OS=Rattus norvegicus OX=10116 GN=Hras PE=1 SV=2,0.314,1.23,1,0.056,0.166,1
Actin-related protein 2/3 complex subunit 2 OS=Rattus norvegicus OX=10116 GN=Arpc2 PE=1 SV=1,0.553,0.813,0.173,0.873,0.213,6.78
"Fumarate hydratase, mitochondrial OS=Rattus norvegicus OX=10116 GN=Fh PE=1 SV=2",0.588,0.786,0.825,0.771,1.834,1.046
Microtubule-associated protein 6 OS=Rattus norvegicus OX=10116 GN=Map6 PE=1 SV=1,0.511,0.578,0.866,0.803,0.788,0.618
Excitatory amino acid transporter 2 OS=Rattus norvegicus OX=10116 GN=Slc1a2 PE=1 SV=2,0.422,0.871,0.787,0.316,0.581,0.697
Small ribosomal subunit protein eS28 OS=Rattus norvegicus OX=10116 GN=Rps28 PE=1 SV=1,0.01,0.01,0.01,0.01,0.01,
"Stress-70 protein, mitochondrial OS=Rattus norvegicus OX=10116 GN=Hspa9 PE=1 SV=3",0.428,0.642,0.721,0.718,0.869,0.894
"Cytochrome b-c1 complex subunit 1, mitochondrial OS=Rattus norvegicus OX=10116 GN=Uqcrc1 PE=1 SV=1",0.449,0.692,0.966,0.648,0.971,0.65
Contactin-1 OS=Rattus norvegicus OX=10116 GN=Cntn1 PE=1 SV=2,0.407,0.758,1.344,0.586,1.072,0.598
"Acetyl-CoA acetyltransferase, mitochondrial OS=Rattus norvegicus OX=10116 GN=Acat1 PE=1 SV=1",0.385,0.711,0.97,0.537,1.394,0.486
Hippocalcin-like protein 4 OS=Rattus norvegicus OX=10116 GN=Hpcal4 PE=2 SV=2,4.2,5.588,1,0.01,1,0.01
Septin-5 OS=Rattus norvegicus OX=10116 GN=Septin5 PE=1 SV=2,0.426,0.742,0.762,0.613,0.825,0.84
Clathrin light chain B OS=Rattus norvegicus OX=10116 GN=Cltb PE=1 SV=1,0.666,1.143,1.072,0.737,0.671,0.987
Ras-related C3 botulinum toxin substrate 1 OS=Rattus norvegicus OX=10116 GN=Rac1 PE=1 SV=1,0.439,0.674,0.855,0.891,1.272,0.66
Elongation factor 1-alpha 1 OS=Rattus norvegicus OX=10116 GN=Eef1a1 PE=2 SV=1,0.518,0.734,0.684,0.996,1.131,0.83
Fatty acid-binding protein 5 OS=Rattus norvegicus OX=10116 GN=Fabp5 PE=1 SV=3,0.677,0.613,0.611,0.714,0.55,0.976
"Fatty acid-binding protein, brain OS=Rattus norvegicus OX=10116 GN=Fabp7 PE=1 SV=2",1.897,0.696,1.134,2.771,3.095,0.829
Phosphoglucomutase-1 OS=Rattus norvegicus OX=10116 GN=Pgm1 PE=1 SV=2,0.521,0.689,0.896,0.718,1.138,0.925
T-kininogen 2 OS=Rattus norvegicus OX=10116 PE=1 SV=2,100,0.112,0.414,100,100,5.736
Thioredoxin OS=Rattus norvegicus OX=10116 GN=Txn PE=1 SV=2,0.663,0.993,0.926,0.872,0.771,1.35
Hyaluronan and proteoglycan link protein 1 OS=Rattus norvegicus OX=10116 GN=Hapln1 PE=1 SV=2,0.357,0.727,1.295,0.464,1.009,0.41
"ATP-dependent 6-phosphofructokinase, muscle type OS=Rattus norvegicus OX=10116 GN=Pfkm PE=1 SV=3",0.516,0.635,0.894,0.718,1.268,0.594
Hypoxanthine-guanine phosphoribosyltransferase OS=Rattus norvegicus OX=10116 GN=Hprt1 PE=1 SV=1,0.584,0.853,2.044,0.915,2.773,0.367
DnaJ homolog subfamily C member 5 OS=Rattus norvegicus OX=10116 GN=Dnajc5 PE=1 SV=1,0.481,0.806,0.834,0.541,0.487,0.825
Proteasome subunit alpha type-6 OS=Rattus norvegicus OX=10116 GN=Psma6 PE=1 SV=1,0.53,0.74,0.096,0.435,0.152,9.278
"Cytochrome b-c1 complex subunit 6, mitochondrial OS=Rattus norvegicus OX=10116 GN=Uqcrh PE=3 SV=1",0.219,0.38,0.923,0.642,1.073,0.566
Thy-1 membrane glycoprotein OS=Rattus norvegicus OX=10116 GN=Thy1 PE=1 SV=1,0.342,1.116,2.788,0.456,1.388,0.396
"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial OS=Rattus norvegicus OX=10116 GN=Oxct1 PE=1 SV=1",0.517,7.551,6.1,5.205,4.734,0.935
Tropomyosin alpha-4 chain OS=Rattus norvegicus OX=10116 GN=Tpm4 PE=1 SV=3,1.084,0.823,1.256,1.145,1.731,0.599
"NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial OS=Rattus norvegicus OX=10116 GN=Ndufv3 PE=3 SV=1",0.073,0.084,1.057,0.049,1.16,0.073
"Cytochrome c oxidase subunit 7C, mitochondrial OS=Rattus norvegicus OX=10116 GN=Cox7c PE=1 SV=2",0.204,0.214,0.38,0.487,0.51,0.956
"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial OS=Rattus norvegicus OX=10116 GN=Ndufa9 PE=1 SV=2",0.525,7.873,1,0.577,0.174,5.776
Beta-enolase OS=Rattus norvegicus OX=10116 GN=Eno3 PE=1 SV=3,0.056,1.124,1,0.182,1,1
GTP-binding nuclear protein Ran OS=Rattus norvegicus OX=10116 GN=Ran PE=1 SV=3,0.548,0.771,1.159,0.957,1.131,0.802
"4-aminobutyrate aminotransferase, mitochondrial OS=Rattus norvegicus OX=10116 GN=Abat PE=1 SV=3",0.524,0.828,0.968,0.473,0.686,0.683
Hemopexin OS=Rattus norvegicus OX=10116 GN=Hpx PE=1 SV=3,2.178,1.036,1.522,19.033,13.324,1.371
"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial OS=Rattus norvegicus OX=10116 GN=Ndufa10 PE=1 SV=1",0.445,0.825,1.266,0.717,1.045,0.623
"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Rattus norvegicus OX=10116 GN=Sdha PE=1 SV=1",0.483,0.704,1.111,0.704,0.919,0.68
Serine protease inhibitor A3K OS=Rattus norvegicus OX=10116 GN=Serpina3k PE=1 SV=3,0.661,1.112,1.801,2.542,2.875,0.948
AP-2 complex subunit mu OS=Rattus norvegicus OX=10116 GN=Ap2m1 PE=1 SV=1,0.449,0.599,0.87,0.749,1.48,0.503
"ATP synthase membrane subunit K, mitochondrial OS=Rattus norvegicus OX=10116 GN=Atp5mk PE=1 SV=1",,,,,,
"Succinate-semialdehyde dehydrogenase, mitochondrial OS=Rattus norvegicus OX=10116 GN=Aldh5a1 PE=1 SV=2",0.279,0.895,1.355,0.832,1.485,0.713
"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial OS=Rattus norvegicus OX=10116 GN=Idh3B PE=2 SV=1",0.491,0.686,0.855,0.661,1.04,0.616
"Keratin, type II cytoskeletal 75 OS=Rattus norvegicus OX=10116 GN=Krt75 PE=3 SV=2",0.982,1.325,1.19,0.693,0.784,0.463
Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform OS=Rattus norvegicus OX=10116 GN=Ppp3cb PE=1 SV=1,0.447,0.674,0.145,0.058,0.149,1
Phosphatidylethanolamine-binding protein 1 OS=Homo sapiens OX=9606 GN=PEBP1 PE=1 SV=3,1,1,1,1,1,0.867
"ATP synthase subunit f, mitochondrial OS=Rattus norvegicus OX=10116 GN=Atp5mf PE=1 SV=1",0.319,0.653,0.697,0.405,0.811,0.446
Alpha-actinin-1 OS=Rattus norvegicus OX=10116 GN=Actn1 PE=1 SV=1,0.329,0.676,0.766,0.643,0.954,0.884
Growth factor receptor-bound protein 2 OS=Rattus norvegicus OX=10116 GN=Grb2 PE=1 SV=1,0.4,7.249,1,0.323,0.157,9.577
"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial OS=Rattus norvegicus OX=10116 GN=Pdha1 PE=1 SV=2",0.425,0.67,0.7,0.479,0.792,0.719
Amphiphysin OS=Rattus norvegicus OX=10116 GN=Amph PE=1 SV=1,0.492,0.634,0.883,0.606,1.262,0.709
Rho-related GTP-binding protein RhoB OS=Rattus norvegicus OX=10116 GN=Rhob PE=1 SV=1,0.038,0.039,0.495,0.378,0.953,0.625
Murinoglobulin-1 OS=Rattus norvegicus OX=10116 GN=Mug1 PE=2 SV=1,1.644,1.919,1.183,2.441,1.925,0.776
Calcium/calmodulin-dependent protein kinase type II subunit delta OS=Rattus norvegicus OX=10116 GN=Camk2d PE=1 SV=1,0.569,0.457,0.747,1.18,2.132,0.56
Alpha-1-macroglobulin OS=Rattus norvegicus OX=10116 GN=A1m PE=1 SV=1,3.653,1.69,2.242,24.949,9.298,1.812
Neurogranin OS=Rattus norvegicus OX=10116 GN=Nrgn PE=1 SV=1,0.206,0.277,0.453,0.208,0.44,0.473
Fumarylacetoacetate hydrolase domain-containing protein 2 OS=Rattus norvegicus OX=10116 GN=Fahd2 PE=1 SV=1,0.71,0.702,0.955,0.73,0.854,0.638
Large ribosomal subunit protein uL29 OS=Rattus norvegicus OX=10116 GN=Rpl35 PE=1 SV=3,0.555,0.67,2.449,0.895,2.94,0.321
Lactoylglutathione lyase OS=Rattus norvegicus OX=10116 GN=Glo1 PE=1 SV=3,0.525,0.647,0.824,0.811,1.404,0.631
Glutathione S-transferase omega-1 OS=Rattus norvegicus OX=10116 GN=Gsto1 PE=1 SV=2,0.715,0.888,0.91,0.587,1.107,0.53
Ras-related protein Rab-3C OS=Rattus norvegicus OX=10116 GN=Rab3c PE=1 SV=1,0.973,100,100,1,11.967,0.061
Elongation factor 1-alpha 2 OS=Rattus norvegicus OX=10116 GN=Eef1a2 PE=1 SV=1,0.048,0.368,1,1,1,0.478
Cell division control protein 42 homolog OS=Rattus norvegicus OX=10116 GN=Cdc42 PE=1 SV=2,0.435,0.564,0.653,0.75,0.909,0.822
ADP-ribosylation factor 5 OS=Rattus norvegicus OX=10116 GN=Arf5 PE=1 SV=2,0.01,0.01,1,0.01,1,0.01
T-kininogen 1 OS=Rattus norvegicus OX=10116 GN=Map1 PE=1 SV=2,1.142,1.116,2.187,0.873,1.395,1.13
Purine nucleoside phosphorylase OS=Rattus norvegicus OX=10116 GN=Pnp PE=1 SV=1,0.876,0.592,1.201,0.57,1.586,0.564
Clathrin light chain A OS=Rattus norvegicus OX=10116 GN=Clta PE=1 SV=1,0.362,0.791,1.027,0.561,0.879,0.714
Ras-related protein Rab-7a OS=Rattus norvegicus OX=10116 GN=Rab7a PE=1 SV=2,0.407,0.639,0.01,0.056,0.143,1
"Complement component 1 Q subcomponent-binding protein, mitochondrial OS=Rattus norvegicus OX=10116 GN=C1qbp PE=1 SV=2",0.429,0.692,1.477,0.057,1.256,0.073
Ig heavy chain V region IR2 OS=Rattus norvegicus OX=10116 PE=4 SV=1,5.755,1.107,3.05,16.048,20.939,0.714
Complement C1q subcomponent subunit C OS=Rattus norvegicus OX=10116 GN=C1qc PE=1 SV=2,17.167,1.168,0.9,100,100,1.34
